광진윈텍,090150,5730,5730,1990,1990,1990,1990,0,False,False,0.0,0,-,0,
교보증권,030610,9340,9340,5240,5240,5240,5240,0,False,False,0.0,0,-,0,
교촌에프앤비,339770,38950,22150,20350,20350,20350,20350,0,False,False,0.0,0,-,0,
구영테크,053270,5860,5860,2385,2055,1873,1691,0,False,False,0.0,0,-,20210120,
국도화학,007690,94000,94000,33550,33550,33550,33550,0,False,False,0.0,0,-,0,
국동,005320,5280,5170,4865,4193,3823,3453,0,False,False,0.0,0,-,20200915,
국보디자인,066620,27700,27700,10800,10800,10800,10800,0,False,False,0.0,0,-,0,
국영지앤엠,006050,4785,3650,3120,2688,2450,2212,0,False,False,0.0,0,-,20200330,
국일신동,060480,5670,5670,2785,2785,2785,2785,0,False,False,0.0,0,-,0,
국일제지,078130,6980,6980,4100,4100,4100,4100,0,False,False,0.0,0,-,0,
국전약품,307750,12867,12867,2164,2164,2164,2164,0,False,False,0.0,0,-,0,
국제약품,002720,16578,12804,10654,9192,8388,7584,0,False,False,0.0,0,-,20200721,
그리티,204020,4560,4560,1505,1505,1505,1505,0,False,False,0.0,0,-,0,
그린케미칼,083420,19300,19300,8580,7392,6739,6086,0,False,False,0.0,0,-,20201211,
그린플러스,186230,20250,20250,2952,2952,2952,2952,0,False,False,0.0,0,-,0,
극동유화,014530,6840,6840,4645,4003,3650,3297,0,False,False,0.0,0,-,20210316,
글로벌에스엠,900070,1535,1535,1115,962,878,794,0,False,False,0.0,0,-,20210120,
글로벌텍스프리,204620,4060,4060,2500,2500,2500,2500,0,False,False,0.0,0,-,0,
금강공업,014280,8220,8220,2180,2180,2180,2180,0,False,False,0.0,0,-,0,
금강철강,053260,10400,10400,5600,4826,4400,3974,0,False,False,0.5,8220,-,20210308,
금비,008870,98500,98500,45650,45650,45650,45650,0,False,False,0.0,0,-,0,
금양,001570,7800,7800,7470,6438,5870,5302,0,False,False,0.0,0,-,20201216,
금호건설,002990,12500,12500,5300,5300,5300,5300,0,False,False,0.0,0,-,20201116,
금호석유,011780,298500,298500,50000,50000,50000,50000,0,False,False,0.0,0,-,0,
금호에이치티,214330,4985,3995,3970,3421,3119,2817,0,False,False,0.0,0,-,20200827,
금화피에스시,036190,36950,36950,21300,21300,21300,21300,0,False,False,0.0,0,-,0,
기산텔레콤,035460,3315,3315,1860,1860,1860,1860,0,False,False,0.0,0,-,0,
기신정기,092440,6950,6950,2755,2755,2755,2755,0,False,False,0.0,0,-,0,
기아,000270,102000,102000,24600,24600,24600,24600,0,False,False,0.0,0,-,0,
기업은행,024110,11100,11100,6510,6510,6510,6510,0,False,False,0.0,0,-,0,
까뮤이앤씨,013700,3835,3835,1560,1344,1225,1106,0,False,False,0.0,0,-,20201007,
까스텔바작,308100,17550,17550,6980,6980,6980,6980,0,False,False,0.0,0,-,20210107,
